period,industry,category,variable,measure,value_pct,unit,publication_flag,publisher,source_table,source_file,source_url,denominator_note
2021-22,Mining,technology,data_analytics_pct,Data analytics,14.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Mining,technology,iot_pct,Internet of Things,11.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Mining,technology,ai_use_pct,Artificial intelligence use,1.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Mining,technology,any_ict_pct,Any ICT used,90.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,crm_pct,Customer Relationship Management software,18.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,erp_pct,Enterprise Resource Planning software,9.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,edi_pct,Electronic Data Interchange,17.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,digital_platforms_pct,Any digital platforms,53.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,cloud_pct,Cloud technology,64.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Manufacturing,technology,cyber_security_software_pct,Cyber security software,68.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
