model,mae_pp,rmse_pp,r2
ElasticNet,3.691950154682717,4.691497621491383,0.719339302948149
Ridge,3.7802582905753157,4.991778363710117,0.6822619783426642
ExtraTrees,3.896444953314649,5.515645836076168,0.6120718078061622
RandomForest,4.044753051099224,5.771213835081379,0.575289565867585
Mean baseline,6.771626297577855,8.855655241583507,0.0
