financial_year,projected_total_income_m,method_note
2025-26,707186.9380804952,Quadratic trend scenario based on published annual retail industry income; not linked causally to AI.
2026-27,749141.308978328,Quadratic trend scenario based on published annual retail industry income; not linked causally to AI.
