operating_start,entries_births,entries_other,entries_total,exits_cancellations,exits_other,exits_total,operating_end,net_change,percentage_change,entry_rate,exit_rate,period
139850.0,20058.0,5482.0,25540.0,14172.0,2108.0,16280.0,149110.0,9260.0,6.6,18.3,11.6,2020-21
149110.0,21535.0,6354.0,27889.0,16114.0,3311.0,19425.0,157574.0,8464.0,5.7,18.7,13.0,2021-22
157574.0,18136.0,5640.0,23776.0,20294.0,3810.0,24104.0,157246.0,-328.0,-0.2,15.1,15.3,2022-23
157246.0,18041.0,6469.0,24510.0,20737.0,4081.0,24818.0,156938.0,-308.0,-0.2,15.6,15.8,2023-24
