cohort,horizon,survival_rate_pct
Businesses operating June 2020,1 year,88.4
Businesses operating June 2020,2 years,78.7
Businesses operating June 2020,3 years,70.0
Businesses operating June 2020,4 years,62.3
Retail entries in 2020-21,1 year,76.7
Retail entries in 2020-21,2 years,59.1
Retail entries in 2020-21,3 years,48.5
